Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623160275.027166,172.10.0.2:55682,0,69,69,69
1623160275.042739,172.10.0.2:55682,0,69,69,69
1623160275.058566,172.10.0.2:55682,0,69,69,69
1623160275.074098,172.10.0.2:55682,0,69,69,69
1623160275.089787,172.10.0.2:55682,0,69,69,69
1623160275.105323,172.10.0.2:55682,0,69,69,69
1623160275.121015,172.10.0.2:55682,0,69,69,69
1623160275.136584,172.10.0.2:55682,0,69,69,69
1623160275.152393,172.10.0.2:55682,0,69,69,69
1623160275.167779,172.10.0.2:55682,0,69,69,69
1623160275.183464,172.10.0.2:55682,0,69,69,69
1623160275.199203,172.10.0.2:55682,0,69,69,69
1623160275.214800,172.10.0.2:55682,0,69,69,69
1623160275.230443,172.10.0.2:55682,0,69,69,69
1623160275.245995,172.10.0.2:55682,0,69,69,69
1623160275.261734,172.10.0.2:55682,0,69,69,69
1623160275.277423,172.10.0.2:55682,0,69,69,69
1623160275.293369,172.10.0.2:55682,0,69,69,69
1623160275.308984,172.10.0.2:55682,0,69,70,69
1623160275.324705,172.10.0.2:55682,0,69,70,69
1623160275.340780,172.10.0.2:55682,0,69,70,69
1623160275.356668,172.10.0.2:55682,0,69,70,69
1623160275.372553,172.10.0.2:55682,0,69,70,69
1623160275.388166,172.10.0.2:55682,0,69,70,69
1623160275.404061,172.10.0.2:55682,0,69,70,69
1623160275.419541,172.10.0.2:55682,0,69,70,69
1623160275.435533,172.10.0.2:55682,0,69,70,69
1623160275.451622,172.10.0.2:55682,0,69,70,69
1623160275.467285,172.10.0.2:55682,0,69,70,69
1623160275.483249,172.10.0.2:55682,0,69,70,69
1623160275.498773,172.10.0.2:55682,0,69,70,69
1623160275.514614,172.10.0.2:55682,0,69,70,69
1623160275.530213,172.10.0.2:55682,0,69,70,69
1623160275.546774,172.10.0.2:55682,0,69,70,69
1623160275.562546,172.10.0.2:55682,0,69,70,69
1623160275.578892,172.10.0.2:55682,0,69,70,69
1623160275.594564,172.10.0.2:55682,0,69,70,69
1623160275.611008,172.10.0.2:55682,0,69,70,69
1623160275.626702,172.10.0.2:55682,0,69,70,69
1623160275.643016,172.10.0.2:55682,0,69,70,69
1623160275.658665,172.10.0.2:55682,0,69,70,69
1623160275.674313,172.10.0.2:55682,0,69,70,69
1623160275.690098,172.10.0.2:55682,0,69,70,69
1623160275.705760,172.10.0.2:55682,0,69,70,69
1623160275.721382,172.10.0.2:55682,0,69,70,69
1623160275.737030,172.10.0.2:55682,0,69,70,69
1623160275.752705,172.10.0.2:55682,0,69,70,69
1623160275.768446,172.10.0.2:55682,0,69,70,69
1623160275.783918,172.10.0.2:55682,0,69,70,69
1623160275.799575,172.10.0.2:55682,0,69,70,69
1623160275.815283,172.10.0.2:55682,0,69,70,69
1623160275.831658,172.10.0.2:55682,0,69,70,69
1623160275.847182,172.10.0.2:55682,0,69,70,69
1623160275.862908,172.10.0.2:55682,0,69,70,69
1623160275.878519,172.10.0.2:55682,0,69,70,69
1623160275.894079,172.10.0.2:55682,0,69,70,69
1623160275.909668,172.10.0.2:55682,0,69,70,69
1623160275.925254,172.10.0.2:55682,0,69,70,69
1623160275.941516,172.10.0.2:55682,0,69,70,69
1623160275.957098,172.10.0.2:55682,0,69,70,69
1623160275.973019,172.10.0.2:55682,0,69,70,69
1623160275.988470,172.10.0.2:55682,0,69,70,69
1623160276.003840,172.10.0.2:55682,0,69,70,69
1623160276.019373,172.10.0.2:55682,0,69,70,69
1623160276.034962,172.10.0.2:55682,0,69,70,69
1623160276.050756,172.10.0.2:55682,0,69,70,69
1623160276.066293,172.10.0.2:55682,0,69,70,69
1623160276.081978,172.10.0.2:55682,0,69,70,69
1623160276.097641,172.10.0.2:55682,0,69,70,69
1623160276.113315,172.10.0.2:55682,0,69,70,69
1623160276.128925,172.10.0.2:55682,0,69,70,69
1623160276.144274,172.10.0.2:55682,0,69,70,69
1623160276.159841,172.10.0.2:55682,0,69,70,69
1623160276.175306,172.10.0.2:55682,0,69,71,69
1623160276.191194,172.10.0.2:55682,1,70,68,35
1623160276.206864,172.10.0.2:55682,1,70,67,35
1623160276.222460,172.10.0.2:55682,2,71,67,35
1623160276.238168,172.10.0.2:55682,2,71,66,35
1623160276.253909,172.10.0.2:55682,2,71,65,35
1623160276.269486,172.10.0.2:55682,2,71,65,35
1623160276.285005,172.10.0.2:55682,2,71,64,35
1623160276.300886,172.10.0.2:55682,2,71,63,35
1623160276.316371,172.10.0.2:55682,2,71,63,35
1623160276.331849,172.10.0.2:55682,2,71,62,35
1623160276.347472,172.10.0.2:55682,2,71,62,35
1623160276.363247,172.10.0.2:55682,2,71,61,35
1623160276.379285,172.10.0.2:55682,2,71,60,35
1623160276.395034,172.10.0.2:55682,2,71,60,35
1623160276.410555,172.10.0.2:55682,2,71,59,35
1623160276.426146,172.10.0.2:55682,2,71,58,35
1623160276.441960,172.10.0.2:55682,2,71,58,35
1623160276.457626,172.10.0.2:55682,2,71,57,35
1623160276.473377,172.10.0.2:55682,2,71,56,35
1623160276.489858,172.10.0.2:55682,2,71,56,35
1623160276.505595,172.10.0.2:55682,2,71,55,35
1623160276.522302,172.10.0.2:55682,2,71,54,35
1623160276.537856,172.10.0.2:55682,2,71,53,35
1623160276.553604,172.10.0.2:55682,2,71,53,35
1623160276.569464,172.10.0.2:55682,2,71,52,35
